Mitjana 1,Variança 1,Desviacio 1,GradientMag 1,Mitjana 2,Variança 2,Desviacio 2,GradientMag 2,Mitjana 3,Variança 3,Desviacio 3,GradientMag 3,Mitjana 4,Variança 4,Desviacio 4,GradientMag 4,Mitjana 5,Variança 5,Desviacio 5,GradientMag 5,Mitjana 6,Variança 6,Desviacio 6,GradientMag 6,Mitjana 7,Variança 7,Desviacio 7,GradientMag 7,Mitjana 8,Variança 8,Desviacio 8,GradientMag 8,Mitjana 9,Variança 9,Desviacio 9,GradientMag 9,Mitjana 10,Variança 10,Desviacio 10,GradientMag 10,Mitjana 11,Variança 11,Desviacio 11,GradientMag 11,Mitjana 12,Variança 12,Desviacio 12,GradientMag 12,Deteccio
118.25,1219.33125,34.0674393816293,104952.673135791,115.3359375,1554.7859375,38.1805308599638,104952.673135791,150.90625,208.545833333333,14.2807431716944,104952.673135791,127.6328125,2069.68697916667,45.4235811997837,104952.673135791,88.53125,2755.253125,52.2252690814586,104952.673135791,157.125,174.240625,13.0677675483237,104952.673135791,120.734375,1955.75104166667,44.2036712784478,104952.673135791,127.7421875,869.3796875,29.0488765300082,104952.673135791,148.9609375,98.0307291666667,9.69917710170211,104952.673135791,160.609375,609.64375,22.3125191553827,104952.673135791,143.2734375,169.927604166667,12.3792764877154,104952.673135791,147.3203125,91.4307291666667,9.22524460682686,104952.673135791,"Ulls"
149.6171875,898.469270833333,29.9286222574457,89761.5977472793,101.4609375,997.694270833333,31.3479602049456,89761.5977472793,182.203125,393.239583333333,19.0472017754811,89761.5977472793,132.1328125,2170.7078125,45.8533835649396,89761.5977472793,71.59375,1391.71875,36.9482331524609,89761.5977472793,153.4453125,431.8671875,20.6460660757636,89761.5977472793,137.9453125,2551.6359375,50.1632350863564,89761.5977472793,76.4140625,656.9296875,23.6936235365517,89761.5977472793,153.546875,489.982291666667,22.0492321996168,89761.5977472793,173.7578125,507.686979166667,21.3958176587753,89761.5977472793,115.921875,119.180208333333,10.4234906827421,89761.5977472793,172.7734375,275.577604166667,16.012549833636,89761.5977472793,"Ulls"
180.3203125,278.1609375,16.415530637524,101043.649625288,129.359375,540.729166666667,22.0970506404031,101043.649625288,161.5,217.179166666667,14.2375591483107,101043.649625288,166.546875,586.833333333333,24.167332552395,101043.649625288,78.2734375,1772.25989583333,41.7498795372844,101043.649625288,157.765625,357.585416666667,18.8075985145514,101043.649625288,131.5703125,514.240104166667,22.5571540600198,101043.649625288,144.6796875,1508.25885416667,38.0312109721656,101043.649625288,139.6328125,286.7421875,16.8478871352958,101043.649625288,139.6640625,347.618229166667,18.2972221885403,101043.649625288,135.3984375,171.959895833333,11.8613909818928,101043.649625288,158.234375,196.317708333333,12.4565353592843,101043.649625288,"Ulls"
147.1015625,45.7182291666667,6.6917245164337,68990.3893751035,93.3046875,813.7015625,28.3347019128035,68990.3893751035,151.1171875,314.111979166667,17.5470967539171,68990.3893751035,127.546875,192.6875,13.6399142389352,68990.3893751035,52.8359375,648.731770833333,25.0862259488224,68990.3893751035,128.90625,701.036458333333,26.2831997303631,68990.3893751035,118.890625,183.3375,13.2677966989971,68990.3893751035,73.9921875,403.316145833333,19.8468158104893,68990.3893751035,134.53125,269.740625,16.2190418028062,68990.3893751035,125.953125,57.1583333333333,7.47123989790539,68990.3893751035,117.1015625,110.0859375,9.30189286733388,68990.3893751035,149.7734375,80.4755208333333,8.78549500923978,68990.3893751035,"Ulls"
101.0625,99.8520833333333,9.41521571020953,94606.3488925163,117.328125,72.2822916666667,7.92714691650364,94606.3488925163,145.0234375,119.072395833333,9.92627152705707,94606.3488925163,99.4375,802.384375,27.7253372897548,94606.3488925163,83.140625,1450.89270833333,36.9388967159199,94606.3488925163,156.2734375,370.069270833333,19.085951266557,94606.3488925163,100.84375,1631.790625,40.0718228548058,94606.3488925163,129.5859375,1951.04635416667,43.7477377115234,94606.3488925163,168.59375,127.670833333333,11.1801509016567,94606.3488925163,111.265625,1671.53333333333,40.8002139859659,94606.3488925163,114.7578125,420.409895833333,19.9026961369877,94606.3488925163,137.953125,105.414583333333,9.79546589760387,94606.3488925163,"Ulls"
199.875,493.586458333333,21.8349233869408,117958.387353781,116.875,2796.31354166667,52.7990699807135,117958.387353781,162.984375,2558.2875,50.1010539819935,117958.387353781,218.6484375,202.1203125,14.0485473699209,117958.387353781,74.6015625,3275.8796875,57.0642731717315,117958.387353781,159.3671875,2710.8671875,51.8285079124607,117958.387353781,208.9140625,212.147395833333,14.4047587649928,117958.387353781,139,3721.35,60.5732515380973,117958.387353781,185.546875,1351.53958333333,36.5296124387853,117958.387353781,209.734375,53.4645833333333,6.97909095184293,117958.387353781,200.90625,908.065625,24.3071019227459,117958.387353781,218.8359375,312.177604166667,12.7708670883419,117958.387353781,"Ulls"
129.578125,814.777083333333,28.4308523983912,93053.1021036223,111.03125,1192.52916666667,34.3561401772017,93053.1021036223,154.6796875,384.174479166667,18.9292737537115,93053.1021036223,105.03125,952.684375,30.7565895996449,93053.1021036223,78.578125,1493.71875,38.4931382572765,93053.1021036223,131.3828125,212.874479166667,14.5255602174223,93053.1021036223,100.5390625,1273.84739583333,35.5334255949871,93053.1021036223,74.6640625,465.5109375,21.062326356945,93053.1021036223,117.8046875,389.174479166667,18.8589940170338,93053.1021036223,128.4453125,405.4671875,19.7834039007279,93053.1021036223,96.78125,201.245833333333,13.1081235008271,93053.1021036223,143.53125,485.732291666667,21.2735089990321,93053.1021036223,"Ulls"
110.2109375,706.7203125,26.5095932780539,86118.5657560776,99.0859375,823.997395833333,28.1617567571487,86118.5657560776,145.875,268.271875,16.3148681044137,86118.5657560776,96.1796875,1175.16927083333,34.2303903839407,86118.5657560776,81.5234375,1625.8078125,40.1721411468998,86118.5657560776,131.9140625,304.168229166667,17.2773386401943,86118.5657560776,87.4296875,497.325520833333,21.9325320491145,86118.5657560776,95.2265625,507.3765625,21.2979592173769,86118.5657560776,123.078125,290.521875,17.012750148033,86118.5657560776,127.7109375,81.8630208333333,8.81413443654463,86118.5657560776,124.984375,122.575,9.77824129119049,86118.5657560776,142.90625,95.8489583333333,9.68640406042088,86118.5657560776,"Ulls"
51.46875,376.63125,15.1470573707064,100433.150015557,42.7265625,158.0703125,10.0187738263135,100433.150015557,94.40625,647.2625,21.5574466446076,100433.150015557,103.5859375,790.897395833333,27.3386266864065,100433.150015557,68.875,684.251041666667,25.5431790387398,100433.150015557,131.46875,320.466666666667,17.8239599260246,100433.150015557,108.1484375,986.069270833333,31.183849321672,100433.150015557,71.5703125,1220.31822916667,34.850889437505,100433.150015557,127.0625,117.53125,10.5882815807328,100433.150015557,154.8203125,150.828645833333,8.39149624910222,100433.150015557,133.328125,335.140625,15.8272156836273,100433.150015557,167.0703125,121.928645833333,8.35543557102918,100433.150015557,"Ulls"
75.3046875,1600.47864583333,39.9037534855054,109180.847007228,92.0703125,443.049479166667,19.1118130491865,109180.847007228,126.6875,390.813541666667,17.6665746283081,109180.847007228,92.421875,1431.85625,37.7911829613366,109180.847007228,108.890625,1930.38333333333,43.4734585392042,109180.847007228,145.4765625,176.847395833333,12.6097452954938,109180.847007228,135.484375,1570.16666666667,39.1896994758783,109180.847007228,103.7890625,1919.31927083333,42.3760730983969,109180.847007228,165.9921875,157.674479166667,11.6788886834135,109180.847007228,180.140625,249.734375,15.0426774807768,109180.847007228,126,330.561458333333,17.5141857656664,109180.847007228,136.671875,46.565625,6.5275162518474,109180.847007228,"Ulls"
